Level;Pick list elements;pick list code
2;Cattle - Plasma (as-part-nature);A0C60#F01.A057E$F02.A0CEX
2;Cattle - Bile (as-part-nature);A0C60#F01.A057E$F02.A0EKY
2;Cattle - Eye (as-part-nature);A0C60#F01.A057E$F02.A067P
2;Cattle - Feather (as-part-nature);A0C60#F01.A057E$F02.A0ESE
2;Cattle - Hair (as-part-nature);A0C60#F01.A057E$F02.A0ESP
2;Cattle - Injection site (as-part-nature);A0C60#F01.A057E$F02.A0ESN
2;Cattle - Lung (as-part-nature);A0C60#F01.A057E$F02.A069P
2;Cattle - Pollen (as-part-nature);A0C60#F01.A057E$F02.A0ESK
2;Cattle - Retina (as-part-nature);A0C60#F01.A057E$F02.A0ESJ
2;Cattle - Sand (as-part-nature);A0C60#F01.A057E$F02.A0ESH
2;Cattle - Tissues juice (as-part-nature);A0C60#F01.A057E$F02.A0ESG
2;Cattle - Wool (as-part-nature);A0C60#F01.A057E$F02.A0ESF
2;Cattle - Drinking water;A0F7L#F01.A057E$F02.A06CA
2;Cattle - Water for aquaculture;A0F7M#F01.A057E$F02.A06CA
2;Cattle - Feed;A0BB9#F01.A057E$F02.A0F0Y
3;Calves (under 1 year) - Meat (as-part-nature);A0BXF#F01.A0C9E$F02.A0BYZ
3;Calves (under 1 year) - Muscle & skin (Fish) (as-part-nature);A0BXF#F01.A0C9E$F02.A0EMD
3;Calves (under 1 year) - Fat (as-part-nature);A0BXF#F01.A0C9E$F02.A069J
3;Calves (under 1 year) - Blood (as-part-nature);A0BXF#F01.A0C9E$F02.A06AL
3;Calves (under 1 year) - Kidney (as-part-nature);A0BXF#F01.A0C9E$F02.A069N
3;Calves (under 1 year) - Kidney fat (as-part-nature);A0BXF#F01.A0C9E$F02.A0F1B
3;Calves (under 1 year) - Liver (as-part-nature);A0BXF#F01.A0C9E$F02.A069M
3;Calves (under 1 year) - Skin & fat (as-part-nature);A0BXF#F01.A0C9E$F02.A06AK
3;Calves (under 1 year) - Thyroid (as-part-nature);A0C60#F01.A0C9E$F02.A0CES
3;Calves (under 1 year) - Urine (as-part-nature);A0C60#F01.A0C9E$F02.A0CET
3;Calves (under 1 year) - Faeces (as-part-nature);A0C60#F01.A0C9E$F02.A0CEV
3;Calves (under 1 year) - Blood serum (as-part-nature);A0C60#F01.A0C9E$F02.A0CEY
3;Calves (under 1 year) - Plasma (as-part-nature);A0C60#F01.A0C9E$F02.A0CEX
3;Calves (under 1 year) - Bile (as-part-nature);A0C60#F01.A0C9E$F02.A0EKY
3;Calves (under 1 year) - Eye (as-part-nature);A0C60#F01.A0C9E$F02.A067P
3;Calves (under 1 year) - Feather (as-part-nature);A0C60#F01.A0C9E$F02.A0ESE
3;Calves (under 1 year) - Hair (as-part-nature);A0C60#F01.A0C9E$F02.A0ESP
3;Calves (under 1 year) - Injection site (as-part-nature);A0C60#F01.A0C9E$F02.A0ESN
3;Calves (under 1 year) - Lung (as-part-nature);A0C60#F01.A0C9E$F02.A069P
3;Calves (under 1 year) - Pollen (as-part-nature);A0C60#F01.A0C9E$F02.A0ESK
3;Calves (under 1 year) - Retina (as-part-nature);A0C60#F01.A0C9E$F02.A0ESJ
3;Calves (under 1 year) - Sand (as-part-nature);A0C60#F01.A0C9E$F02.A0ESH
3;Calves (under 1 year) - Tissues juice (as-part-nature);A0C60#F01.A0C9E$F02.A0ESG
3;Calves (under 1 year) - Wool (as-part-nature);A0C60#F01.A0C9E$F02.A0ESF
3;Calves (under 1 year) - Drinking water;A0F7L#F01.A0C9E$F02.A06CA
3;Calves (under 1 year) - Water for aquaculture;A0F7M#F01.A0C9E$F02.A06CA
3;Calves (under 1 year) - Feed;A0BB9#F01.A0C9E$F02.A0F0Y
4;Dairy calves (under 1 year) - Meat (as-part-nature);A0BXF#F01.A0C9J$F02.A0BYZ
4;Dairy calves (under 1 year) - Muscle & skin (Fish) (as-part-nature);A0BXF#F01.A0C9J$F02.A0EMD
4;Dairy calves (under 1 year) - Fat (as-part-nature);A0BXF#F01.A0C9J$F02.A069J
4;Dairy calves (under 1 year) - Blood (as-part-nature);A0BXF#F01.A0C9J$F02.A06AL
4;Dairy calves (under 1 year) - Kidney (as-part-nature);A0BXF#F01.A0C9J$F02.A069N
4;Dairy calves (under 1 year) - Kidney fat (as-part-nature);A0BXF#F01.A0C9J$F02.A0F1B
4;Dairy calves (under 1 year) - Liver (as-part-nature);A0BXF#F01.A0C9J$F02.A069M
4;Dairy calves (under 1 year) - Skin & fat (as-part-nature);A0BXF#F01.A0C9J$F02.A06AK
4;Dairy calves (under 1 year) - Thyroid (as-part-nature);A0C60#F01.A0C9J$F02.A0CES
4;Dairy calves (under 1 year) - Urine (as-part-nature);A0C60#F01.A0C9J$F02.A0CET
4;Dairy calves (under 1 year) - Faeces (as-part-nature);A0C60#F01.A0C9J$F02.A0CEV
4;Dairy calves (under 1 year) - Blood serum (as-part-nature);A0C60#F01.A0C9J$F02.A0CEY
4;Dairy calves (under 1 year) - Plasma (as-part-nature);A0C60#F01.A0C9J$F02.A0CEX
4;Dairy calves (under 1 year) - Bile (as-part-nature);A0C60#F01.A0C9J$F02.A0EKY
4;Dairy calves (under 1 year) - Eye (as-part-nature);A0C60#F01.A0C9J$F02.A067P
4;Dairy calves (under 1 year) - Feather (as-part-nature);A0C60#F01.A0C9J$F02.A0ESE
4;Dairy calves (under 1 year) - Hair (as-part-nature);A0C60#F01.A0C9J$F02.A0ESP
4;Dairy calves (under 1 year) - Injection site (as-part-nature);A0C60#F01.A0C9J$F02.A0ESN
4;Dairy calves (under 1 year) - Lung (as-part-nature);A0C60#F01.A0C9J$F02.A069P
4;Dairy calves (under 1 year) - Pollen (as-part-nature);A0C60#F01.A0C9J$F02.A0ESK
4;Dairy calves (under 1 year) - Retina (as-part-nature);A0C60#F01.A0C9J$F02.A0ESJ
4;Dairy calves (under 1 year) - Sand (as-part-nature);A0C60#F01.A0C9J$F02.A0ESH
4;Dairy calves (under 1 year) - Tissues juice (as-part-nature);A0C60#F01.A0C9J$F02.A0ESG
4;Dairy calves (under 1 year) - Wool (as-part-nature);A0C60#F01.A0C9J$F02.A0ESF
4;Dairy calves (under 1 year) - Drinking water;A0F7L#F01.A0C9J$F02.A06CA
4;Dairy calves (under 1 year) - Water for aquaculture;A0F7M#F01.A0C9J$F02.A06CA
4;Dairy calves (under 1 year) - Feed;A0BB9#F01.A0C9J$F02.A0F0Y
4;Veal calves (under 1 year) - Meat (as-part-nature);A0BXF#F01.A0C9M$F02.A0BYZ
4;Veal calves (under 1 year) - Muscle & skin (Fish) (as-part-nature);A0BXF#F01.A0C9M$F02.A0EMD
4;Veal calves (under 1 year) - Fat (as-part-nature);A0BXF#F01.A0C9M$F02.A069J
4;Veal calves (under 1 year) - Blood (as-part-nature);A0BXF#F01.A0C9M$F02.A06AL
4;Veal calves (under 1 year) - Kidney (as-part-nature);A0BXF#F01.A0C9M$F02.A069N
4;Veal calves (under 1 year) - Kidney fat (as-part-nature);A0BXF#F01.A0C9M$F02.A0F1B
4;Veal calves (under 1 year) - Liver (as-part-nature);A0BXF#F01.A0C9M$F02.A069M
4;Veal calves (under 1 year) - Skin & fat (as-part-nature);A0BXF#F01.A0C9M$F02.A06AK
4;Veal calves (under 1 year) - Thyroid (as-part-nature);A0C60#F01.A0C9M$F02.A0CES
4;Veal calves (under 1 year) - Urine (as-part-nature);A0C60#F01.A0C9M$F02.A0CET
4;Veal calves (under 1 year) - Faeces (as-part-nature);A0C60#F01.A0C9M$F02.A0CEV
4;Veal calves (under 1 year) - Blood serum (as-part-nature);A0C60#F01.A0C9M$F02.A0CEY
4;Veal calves (under 1 year) - Plasma (as-part-nature);A0C60#F01.A0C9M$F02.A0CEX
4;Veal calves (under 1 year) - Bile (as-part-nature);A0C60#F01.A0C9M$F02.A0EKY
4;Veal calves (under 1 year) - Eye (as-part-nature);A0C60#F01.A0C9M$F02.A067P
4;Veal calves (under 1 year) - Feather (as-part-nature);A0C60#F01.A0C9M$F02.A0ESE
4;Veal calves (under 1 year) - Hair (as-part-nature);A0C60#F01.A0C9M$F02.A0ESP
4;Veal calves (under 1 year) - Injection site (as-part-nature);A0C60#F01.A0C9M$F02.A0ESN
4;Veal calves (under 1 year) - Lung (as-part-nature);A0C60#F01.A0C9M$F02.A069P
4;Veal calves (under 1 year) - Pollen (as-part-nature);A0C60#F01.A0C9M$F02.A0ESK
4;Veal calves (under 1 year) - Retina (as-part-nature);A0C60#F01.A0C9M$F02.A0ESJ
4;Veal calves (under 1 year) - Sand (as-part-nature);A0C60#F01.A0C9M$F02.A0ESH
4;Veal calves (under 1 year) - Tissues juice (as-part-nature);A0C60#F01.A0C9M$F02.A0ESG
4;Veal calves (under 1 year) - Wool (as-part-nature);A0C60#F01.A0C9M$F02.A0ESF
4;Veal calves (under 1 year) - Drinking water;A0F7L#F01.A0C9M$F02.A06CA
4;Veal calves (under 1 year) - Water for aquaculture;A0F7M#F01.A0C9M$F02.A06CA
4;Veal calves (under 1 year) - Feed;A0BB9#F01.A0C9M$F02.A0F0Y
3;Young cattle (1-2 years) - Meat (as-part-nature);A0BXF#F01.A0C9F$F02.A0BYZ
3;Young cattle (1-2 years) - Muscle & skin (Fish) (as-part-nature);A0BXF#F01.A0C9F$F02.A0EMD
3;Young cattle (1-2 years) - Fat (as-part-nature);A0BXF#F01.A0C9F$F02.A069J
3;Young cattle (1-2 years) - Blood (as-part-nature);A0BXF#F01.A0C9F$F02.A06AL
3;Young cattle (1-2 years) - Kidney (as-part-nature);A0BXF#F01.A0C9F$F02.A069N
3;Young cattle (1-2 years) - Kidney fat (as-part-nature);A0BXF#F01.A0C9F$F02.A0F1B
3;Young cattle (1-2 years) - Liver (as-part-nature);A0BXF#F01.A0C9F$F02.A069M
3;Young cattle (1-2 years) - Skin & fat (as-part-nature);A0BXF#F01.A0C9F$F02.A06AK
3;Young cattle (1-2 years) - Thyroid (as-part-nature);A0C60#F01.A0C9F$F02.A0CES
3;Young cattle (1-2 years) - Urine (as-part-nature);A0C60#F01.A0C9F$F02.A0CET
3;Young cattle (1-2 years) - Faeces (as-part-nature);A0C60#F01.A0C9F$F02.A0CEV
3;Young cattle (1-2 years) - Blood serum (as-part-nature);A0C60#F01.A0C9F$F02.A0CEY
3;Young cattle (1-2 years) - Plasma (as-part-nature);A0C60#F01.A0C9F$F02.A0CEX
3;Young cattle (1-2 years) - Bile (as-part-nature);A0C60#F01.A0C9F$F02.A0EKY
3;Young cattle (1-2 years) - Eye (as-part-nature);A0C60#F01.A0C9F$F02.A067P
3;Young cattle (1-2 years) - Feather (as-part-nature);A0C60#F01.A0C9F$F02.A0ESE
3;Young cattle (1-2 years) - Hair (as-part-nature);A0C60#F01.A0C9F$F02.A0ESP
3;Young cattle (1-2 years) - Injection site (as-part-nature);A0C60#F01.A0C9F$F02.A0ESN
3;Young cattle (1-2 years) - Lung (as-part-nature);A0C60#F01.A0C9F$F02.A069P
3;Young cattle (1-2 years) - Pollen (as-part-nature);A0C60#F01.A0C9F$F02.A0ESK
3;Young cattle (1-2 years) - Retina (as-part-nature);A0C60#F01.A0C9F$F02.A0ESJ
3;Young cattle (1-2 years) - Sand (as-part-nature);A0C60#F01.A0C9F$F02.A0ESH
3;Young cattle (1-2 years) - Tissues juice (as-part-nature);A0C60#F01.A0C9F$F02.A0ESG
3;Young cattle (1-2 years) - Wool (as-part-nature);A0C60#F01.A0C9F$F02.A0ESF
3;Young cattle (1-2 years) - Drinking water;A0F7L#F01.A0C9F$F02.A06CA
3;Young cattle (1-2 years) - Water for aquaculture;A0F7M#F01.A0C9F$F02.A06CA
3;Young cattle (1-2 years) - Feed;A0BB9#F01.A0C9F$F02.A0F0Y
4;Rosé veal calves (at or above 1 year) - Meat (as-part-nature);A0BXF#F01.A0CHK$F02.A0BYZ
4;Rosé veal calves (at or above 1 year) - Muscle & skin (Fish) (as-part-nature);A0BXF#F01.A0CHK$F02.A0EMD
4;Rosé veal calves (at or above 1 year) - Fat (as-part-nature);A0BXF#F01.A0CHK$F02.A069J
4;Rosé veal calves (at or above 1 year) - Blood (as-part-nature);A0BXF#F01.A0CHK$F02.A06AL
4;Rosé veal calves (at or above 1 year) - Kidney (as-part-nature);A0BXF#F01.A0CHK$F02.A069N
4;Rosé veal calves (at or above 1 year) - Kidney fat (as-part-nature);A0BXF#F01.A0CHK$F02.A0F1B
4;Rosé veal calves (at or above 1 year) - Liver (as-part-nature);A0BXF#F01.A0CHK$F02.A069M
4;Rosé veal calves (at or above 1 year) - Skin & fat (as-part-nature);A0BXF#F01.A0CHK$F02.A06AK
4;Rosé veal calves (at or above 1 year) - Thyroid (as-part-nature);A0C60#F01.A0CHK$F02.A0CES
4;Rosé veal calves (at or above 1 year) - Urine (as-part-nature);A0C60#F01.A0CHK$F02.A0CET
4;Rosé veal calves (at or above 1 year) - Faeces (as-part-nature);A0C60#F01.A0CHK$F02.A0CEV
4;Rosé veal calves (at or above 1 year) - Blood serum (as-part-nature);A0C60#F01.A0CHK$F02.A0CEY
4;Rosé veal calves (at or above 1 year) - Plasma (as-part-nature);A0C60#F01.A0CHK$F02.A0CEX
4;Rosé veal calves (at or above 1 year) - Bile (as-part-nature);A0C60#F01.A0CHK$F02.A0EKY
4;Rosé veal calves (at or above 1 year) - Eye (as-part-nature);A0C60#F01.A0CHK$F02.A067P
4;Rosé veal calves (at or above 1 year) - Feather (as-part-nature);A0C60#F01.A0CHK$F02.A0ESE
4;Rosé veal calves (at or above 1 year) - Hair (as-part-nature);A0C60#F01.A0CHK$F02.A0ESP
4;Rosé veal calves (at or above 1 year) - Injection site (as-part-nature);A0C60#F01.A0CHK$F02.A0ESN
4;Rosé veal calves (at or above 1 year) - Lung (as-part-nature);A0C60#F01.A0CHK$F02.A069P
4;Rosé veal calves (at or above 1 year) - Pollen (as-part-nature);A0C60#F01.A0CHK$F02.A0ESK
4;Rosé veal calves (at or above 1 year) - Retina (as-part-nature);A0C60#F01.A0CHK$F02.A0ESJ
4;Rosé veal calves (at or above 1 year) - Sand (as-part-nature);A0C60#F01.A0CHK$F02.A0ESH
4;Rosé veal calves (at or above 1 year) - Tissues juice (as-part-nature);A0C60#F01.A0CHK$F02.A0ESG
4;Rosé veal calves (at or above 1 year) - Wool (as-part-nature);A0C60#F01.A0CHK$F02.A0ESF
4;Rosé veal calves (at or above 1 year) - Drinking water;A0F7L#F01.A0CHK$F02.A06CA
4;Rosé veal calves (at or above 1 year) - Water for aquaculture;A0F7M#F01.A0CHK$F02.A06CA
4;Rosé veal calves (at or above 1 year) - Feed;A0BB9#F01.A0CHK$F02.A0F0Y
4;Young bulls (1-2 years) - Meat (as-part-nature);A0BXF#F01.A0C9H$F02.A0BYZ$F32.A0C9A
4;Young bulls (1-2 years) - Muscle & skin (Fish) (as-part-nature);A0BXF#F01.A0C9H$F02.A0EMD$F32.A0C9A
4;Young bulls (1-2 years) - Fat (as-part-nature);A0BXF#F01.A0C9H$F02.A069J$F32.A0C9A
4;Young bulls (1-2 years) - Blood (as-part-nature);A0BXF#F01.A0C9H$F02.A06AL$F32.A0C9A
4;Young bulls (1-2 years) - Kidney (as-part-nature);A0BXF#F01.A0C9H$F02.A069N$F32.A0C9A
4;Young bulls (1-2 years) - Kidney fat (as-part-nature);A0BXF#F01.A0C9H$F02.A0F1B$F32.A0C9A
4;Young bulls (1-2 years) - Liver (as-part-nature);A0BXF#F01.A0C9H$F02.A069M$F32.A0C9A
4;Young bulls (1-2 years) - Skin & fat (as-part-nature);A0BXF#F01.A0C9H$F02.A06AK$F32.A0C9A
4;Young bulls (1-2 years) - Thyroid (as-part-nature);A0C60#F01.A0C9H$F02.A0CES$F32.A0C9A
4;Young bulls (1-2 years) - Urine (as-part-nature);A0C60#F01.A0C9H$F02.A0CET$F32.A0C9A
4;Young bulls (1-2 years) - Faeces (as-part-nature);A0C60#F01.A0C9H$F02.A0CEV$F32.A0C9A
4;Young bulls (1-2 years) - Blood serum (as-part-nature);A0C60#F01.A0C9H$F02.A0CEY$F32.A0C9A
4;Young bulls (1-2 years) - Plasma (as-part-nature);A0C60#F01.A0C9H$F02.A0CEX$F32.A0C9A
4;Young bulls (1-2 years) - Bile (as-part-nature);A0C60#F01.A0C9H$F02.A0EKY$F32.A0C9A
4;Young bulls (1-2 years) - Eye (as-part-nature);A0C60#F01.A0C9H$F02.A067P$F32.A0C9A
4;Young bulls (1-2 years) - Feather (as-part-nature);A0C60#F01.A0C9H$F02.A0ESE$F32.A0C9A
4;Young bulls (1-2 years) - Hair (as-part-nature);A0C60#F01.A0C9H$F02.A0ESP$F32.A0C9A
4;Young bulls (1-2 years) - Injection site (as-part-nature);A0C60#F01.A0C9H$F02.A0ESN$F32.A0C9A
4;Young bulls (1-2 years) - Lung (as-part-nature);A0C60#F01.A0C9H$F02.A069P$F32.A0C9A
4;Young bulls (1-2 years) - Pollen (as-part-nature);A0C60#F01.A0C9H$F02.A0ESK$F32.A0C9A
4;Young bulls (1-2 years) - Retina (as-part-nature);A0C60#F01.A0C9H$F02.A0ESJ$F32.A0C9A
4;Young bulls (1-2 years) - Sand (as-part-nature);A0C60#F01.A0C9H$F02.A0ESH$F32.A0C9A
4;Young bulls (1-2 years) - Tissues juice (as-part-nature);A0C60#F01.A0C9H$F02.A0ESG$F32.A0C9A
4;Young bulls (1-2 years) - Wool (as-part-nature);A0C60#F01.A0C9H$F02.A0ESF$F32.A0C9A
4;Young bulls (1-2 years) - Drinking water;A0F7L#F01.A0C9H$F02.A06CA$F32.A0C9A
4;Young bulls (1-2 years) - Water for aquaculture;A0F7M#F01.A0C9H$F02.A06CA$F32.A0C9A
4;Young bulls (1-2 years) - Feed;A0BB9#F01.A0C9H$F02.A0F0Y$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Meat (as-part-nature);A0BXF#F01.A0C9S$F02.A0BYZ$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Muscle & skin (Fish) (as-part-nature);A0BXF#F01.A0C9S$F02.A0EMD$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Fat (as-part-nature);A0BXF#F01.A0C9S$F02.A069J$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Blood (as-part-nature);A0BXF#F01.A0C9S$F02.A06AL$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Kidney (as-part-nature);A0BXF#F01.A0C9S$F02.A069N$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Kidney fat (as-part-nature);A0BXF#F01.A0C9S$F02.A0F1B$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Liver (as-part-nature);A0BXF#F01.A0C9S$F02.A069M$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Skin & fat (as-part-nature);A0BXF#F01.A0C9S$F02.A06AK$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Thyroid (as-part-nature);A0C60#F01.A0C9S$F02.A0CES$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Urine (as-part-nature);A0C60#F01.A0C9S$F02.A0CET$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Faeces (as-part-nature);A0C60#F01.A0C9S$F02.A0CEV$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Blood serum (as-part-nature);A0C60#F01.A0C9S$F02.A0CEY$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Plasma (as-part-nature);A0C60#F01.A0C9S$F02.A0CEX$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Bile (as-part-nature);A0C60#F01.A0C9S$F02.A0EKY$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Eye (as-part-nature);A0C60#F01.A0C9S$F02.A067P$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Feather (as-part-nature);A0C60#F01.A0C9S$F02.A0ESE$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Hair (as-part-nature);A0C60#F01.A0C9S$F02.A0ESP$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Injection site (as-part-nature);A0C60#F01.A0C9S$F02.A0ESN$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Lung (as-part-nature);A0C60#F01.A0C9S$F02.A069P$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Pollen (as-part-nature);A0C60#F01.A0C9S$F02.A0ESK$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Retina (as-part-nature);A0C60#F01.A0C9S$F02.A0ESJ$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Sand (as-part-nature);A0C60#F01.A0C9S$F02.A0ESH$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Tissues juice (as-part-nature);A0C60#F01.A0C9S$F02.A0ESG$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Wool (as-part-nature);A0C60#F01.A0C9S$F02.A0ESF$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Drinking water;A0F7L#F01.A0C9S$F02.A06CA$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Water for aquaculture;A0F7M#F01.A0C9S$F02.A06CA$F32.A0C9A
5;Young bulls (1-2 years) for meat production - Feed;A0BB9#F01.A0C9S$F02.A0F0Y$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Meat (as-part-nature);A0BXF#F01.A0C9N$F02.A0BYZ$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Muscle & skin (Fish) (as-part-nature);A0BXF#F01.A0C9N$F02.A0EMD$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Fat (as-part-nature);A0BXF#F01.A0C9N$F02.A069J$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Blood (as-part-nature);A0BXF#F01.A0C9N$F02.A06AL$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Kidney (as-part-nature);A0BXF#F01.A0C9N$F02.A069N$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Kidney fat (as-part-nature);A0BXF#F01.A0C9N$F02.A0F1B$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Liver (as-part-nature);A0BXF#F01.A0C9N$F02.A069M$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Skin & fat (as-part-nature);A0BXF#F01.A0C9N$F02.A06AK$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Thyroid (as-part-nature);A0C60#F01.A0C9N$F02.A0CES$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Urine (as-part-nature);A0C60#F01.A0C9N$F02.A0CET$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Faeces (as-part-nature);A0C60#F01.A0C9N$F02.A0CEV$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Blood serum (as-part-nature);A0C60#F01.A0C9N$F02.A0CEY$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Plasma (as-part-nature);A0C60#F01.A0C9N$F02.A0CEX$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Bile (as-part-nature);A0C60#F01.A0C9N$F02.A0EKY$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Eye (as-part-nature);A0C60#F01.A0C9N$F02.A067P$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Feather (as-part-nature);A0C60#F01.A0C9N$F02.A0ESE$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Hair (as-part-nature);A0C60#F01.A0C9N$F02.A0ESP$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Injection site (as-part-nature);A0C60#F01.A0C9N$F02.A0ESN$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Lung (as-part-nature);A0C60#F01.A0C9N$F02.A069P$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Pollen (as-part-nature);A0C60#F01.A0C9N$F02.A0ESK$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Retina (as-part-nature);A0C60#F01.A0C9N$F02.A0ESJ$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Sand (as-part-nature);A0C60#F01.A0C9N$F02.A0ESH$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Tissues juice (as-part-nature);A0C60#F01.A0C9N$F02.A0ESG$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Wool (as-part-nature);A0C60#F01.A0C9N$F02.A0ESF$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Drinking water;A0F7L#F01.A0C9N$F02.A06CA$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Water for aquaculture;A0F7M#F01.A0C9N$F02.A06CA$F32.A0C9A
5;Young bulls (1-2 years) for dairy - Feed;A0BB9#F01.A0C9N$F02.A0F0Y$F32.A0C9A
