Level;Pick list elements;pick list code
1;Bovine animals - Meat (as-part-nature);A0BXF#F01.A0F1V$F02.A0BYZ
1;Bovine animals - Muscle & skin (Fish) (as-part-nature);A0BXF#F01.A0F1V$F02.A0EMD
1;Bovine animals - Fat (as-part-nature);A0BXF#F01.A0F1V$F02.A069J
1;Bovine animals - Blood (as-part-nature);A0BXF#F01.A0F1V$F02.A06AL
1;Bovine animals - Kidney (as-part-nature);A0BXF#F01.A0F1V$F02.A069N
1;Bovine animals - Kidney fat (as-part-nature);A0BXF#F01.A0F1V$F02.A0F1B
1;Bovine animals - Liver (as-part-nature);A0BXF#F01.A0F1V$F02.A069M
1;Bovine animals - Skin & fat (as-part-nature);A0BXF#F01.A0F1V$F02.A06AK
1;Bovine animals - Thyroid (as-part-nature);A0C60#F01.A0F1V$F02.A0CES
1;Bovine animals - Urine (as-part-nature);A0C60#F01.A0F1V$F02.A0CET
1;Bovine animals - Faeces (as-part-nature);A0C60#F01.A0F1V$F02.A0CEV
1;Bovine animals - Blood serum (as-part-nature);A0C60#F01.A0F1V$F02.A0CEY
1;Bovine animals - Plasma (as-part-nature);A0C60#F01.A0F1V$F02.A0CEX
1;Bovine animals - Bile (as-part-nature);A0C60#F01.A0F1V$F02.A0EKY
1;Bovine animals - Eye (as-part-nature);A0C60#F01.A0F1V$F02.A067P
1;Bovine animals - Feather (as-part-nature);A0C60#F01.A0F1V$F02.A0ESE
1;Bovine animals - Hair (as-part-nature);A0C60#F01.A0F1V$F02.A0ESP
1;Bovine animals - Injection site (as-part-nature);A0C60#F01.A0F1V$F02.A0ESN
1;Bovine animals - Lung (as-part-nature);A0C60#F01.A0F1V$F02.A069P
1;Bovine animals - Pollen (as-part-nature);A0C60#F01.A0F1V$F02.A0ESK
1;Bovine animals - Retina (as-part-nature);A0C60#F01.A0F1V$F02.A0ESJ
1;Bovine animals - Sand (as-part-nature);A0C60#F01.A0F1V$F02.A0ESH
1;Bovine animals - Tissues juice (as-part-nature);A0C60#F01.A0F1V$F02.A0ESG
1;Bovine animals - Wool (as-part-nature);A0C60#F01.A0F1V$F02.A0ESF
1;Bovine animals - Drinking water;A0F7L#F01.A0F1V$F02.A06CA
1;Bovine animals - Water for aquaculture;A0F7M#F01.A0F1V$F02.A06CA
1;Bovine animals - Feed;A0BB9#F01.A0F1V$F02.A0F0Y
2;Cattle - Meat (as-part-nature);A0BXF#F01.A057E$F02.A0BYZ
2;Cattle - Muscle & skin (Fish) (as-part-nature);A0BXF#F01.A057E$F02.A0EMD
2;Cattle - Fat (as-part-nature);A0BXF#F01.A057E$F02.A069J
2;Cattle - Blood (as-part-nature);A0BXF#F01.A057E$F02.A06AL
2;Cattle - Kidney (as-part-nature);A0BXF#F01.A057E$F02.A069N
2;Cattle - Kidney fat (as-part-nature);A0BXF#F01.A057E$F02.A0F1B
2;Cattle - Liver (as-part-nature);A0BXF#F01.A057E$F02.A069M
2;Cattle - Skin & fat (as-part-nature);A0BXF#F01.A057E$F02.A06AK
2;Cattle - Thyroid (as-part-nature);A0C60#F01.A057E$F02.A0CES
2;Cattle - Urine (as-part-nature);A0C60#F01.A057E$F02.A0CET
2;Cattle - Faeces (as-part-nature);A0C60#F01.A057E$F02.A0CEV
2;Cattle - Blood serum (as-part-nature);A0C60#F01.A057E$F02.A0CEY
